Date,BuyHold_SPY,TSMOM_252d_Enhanced,TSMOM_63d_Enhanced,XAsset_MomRot
2005-01-03,0.9997,1.0,1.0,1.0
2005-01-04,0.9874844414776753,1.0,1.0,1.0
2005-01-05,0.9806698982261088,1.0,1.0,1.0
2005-01-06,0.9856558462023173,1.0,1.0,1.0
2005-01-07,0.9842434397724062,1.0,1.0,1.0
2005-01-10,0.9888970348327357,1.0,1.0,1.0
2005-01-11,0.9820824915811692,1.0,1.0,1.0
2005-01-12,0.9853236802115877,1.0,1.0,1.0
2005-01-13,0.9774289899834144,1.0,1.0,1.0
2005-01-14,0.9825812078801371,1.0,1.0,1.0
2005-01-18,0.9928029292949121,1.0,1.0,1.0
2005-01-19,0.9824152183473472,1.0,1.0,1.0
2005-01-20,0.9764319312357774,1.0,1.0,1.0
2005-01-21,0.9704482702739086,1.0,1.0,1.0
2005-01-24,0.9685372410076042,1.0,1.0,1.0
2005-01-25,0.971279526413905,1.0,1.0,1.0
2005-01-26,0.974188175203295,1.0,1.0,1.0
2005-01-27,0.9758500332452648,1.0,1.0,1.0
2005-01-28,0.9758500332452648,1.0,1.0,1.0
2005-01-31,0.981916502048379,1.0,1.0,1.0
2005-02-01,0.9881489603842832,1.0,1.0,1.0
2005-02-02,0.9911407908652176,1.0,1.0,1.0
2005-02-03,0.9885645884542814,1.0,1.0,1.0
2005-02-04,0.9991181020094867,1.0,1.0,1.0
2005-02-07,0.9977887838085455,1.0,1.0,1.0
2005-02-08,0.9989525797895707,1.0,1.0,1.0
2005-02-09,0.9914731437810967,1.0,1.0,1.0
2005-02-10,0.9950461245519455,1.0,1.0,1.0
2005-02-11,1.0036058009996012,1.0,1.0,1.0
2005-02-14,1.002858100401448,1.0,1.0,1.0
2005-02-15,1.0065973510928112,1.0,1.0,1.0
2005-02-16,1.0072619634619946,1.0,1.0,1.0
2005-02-17,0.9991181020094869,1.0,1.0,1.0
2005-02-18,1.0004477940607273,1.0,1.0,1.0
2005-02-22,0.9855729448984968,1.0,1.0,1.0
2005-02-23,0.9926362855240987,1.0,1.0,1.0
2005-02-24,0.999201096775882,1.0,1.0,1.0
2005-02-25,1.0090901848870535,1.0,1.0,1.0
2005-02-28,1.0024422854063004,1.0,1.0,1.0
2005-03-01,1.0074284203076584,1.0,1.0,1.0
2005-03-02,1.0069295170835408,1.0,1.0,1.0
2005-03-03,1.0073454255412635,1.0,1.0,1.0
2005-03-04,1.0198938042923409,1.0,1.0,1.0
2005-03-07,1.0203915859655612,1.0,1.0,1.0
2005-03-08,1.0165696208955275,1.0,1.0,1.0
2005-03-09,1.0052675655789962,1.0,1.0,1.0
2005-03-10,1.0075116019992028,1.0,1.0,1.0
2005-03-11,1.000447794060727,1.0,1.0,1.0
2005-03-14,1.0066805327843558,1.0,1.0,1.0
2005-03-15,0.9983704014113338,1.0,1.0,1.0
2005-03-16,0.9898940935803724,1.0,1.0,1.0
2005-03-17,0.9918884914633708,1.0,1.0,1.0
2005-03-18,0.9889435791949704,1.0,1.0,1.0
2005-03-21,0.9852728365709131,1.0,1.0,1.0
2005-03-22,0.9752614059493688,1.0,1.0,1.0
2005-03-23,0.9760955594291834,1.0,1.0,1.0
2005-03-24,0.9772637481512226,1.0,1.0,1.0
2005-03-28,0.9786818557981946,1.0,1.0,1.0
2005-03-29,0.9721751782679176,1.0,1.0,1.0
2005-03-30,0.98594006589219,1.0,1.0,1.0
2005-03-31,0.9841048347740234,1.0,1.0,1.0
2005-04-01,0.9796829334365466,1.0,1.0,1.0
2005-04-04,0.9813517077090492,1.0,1.0,1.0
2005-04-05,0.9860233410463091,1.0,1.0,1.0
2005-04-06,0.989444071282859,1.0,1.0,1.0
2005-04-07,0.9947834947168444,1.0,1.0,1.0
2005-04-08,0.9844383092407994,1.0,1.0,1.0
2005-04-11,0.9851890941039199,1.0,1.0,1.0
2005-04-12,0.9902785986129725,1.0,1.0,1.0
2005-04-13,0.9785984871815002,1.0,1.0,1.0
2005-04-14,0.9658345837330051,1.0,1.0,1.0
2005-04-15,0.9523193346459411,1.0,1.0,1.0
2005-04-18,0.9552394793320277,1.0,1.0,1.0
2005-04-19,0.9628308835050751,1.0,1.0,1.0
2005-04-20,0.9493989095721302,1.0,1.0,1.0
2005-04-21,0.9678365520845598,1.0,1.0,1.0
2005-04-22,0.9641655290727781,1.0,1.0,1.0
2005-04-25,0.9705062170702652,1.0,1.0,1.0
2005-04-26,0.9610790210036027,1.0,1.0,1.0
2005-04-27,0.9648329453192046,1.0,1.0,1.0
2005-04-28,0.952735990804262,1.0,1.0,1.0
2005-04-29,0.9656674726493181,1.0,1.0,1.0
2005-05-02,0.9710901712374227,1.0,1.0,1.0
2005-05-03,0.9727588520473506,1.0,1.0,1.0
2005-05-04,0.9802669810662787,1.0,1.0,1.0
2005-05-05,0.9799336000620772,1.0,1.0,1.0
2005-05-06,0.9768465312174529,1.0,1.0,1.0
2005-05-09,0.9829371133648578,1.0,1.0,1.0
2005-05-10,0.9727588520473505,1.0,1.0,1.0
2005-05-11,0.978098182018761,1.0,1.0,1.0
2005-05-12,0.9673358730715215,1.0,1.0,1.0
2005-05-13,0.9654172733366609,1.0,1.0,1.0
2005-05-16,0.9744275328572786,1.0,1.0,1.0
2005-05-17,0.9809346777004293,1.0,1.0,1.0
2005-05-18,0.9910293834760929,1.0,1.0,1.0
2005-05-19,0.9952006181880388,1.0,1.0,1.0
2005-05-20,0.9937820432281931,1.0,1.0,1.0
2005-05-23,0.9992886712084403,1.0,1.0,1.0
2005-05-24,0.9969522937643618,1.0,1.0,1.0
2005-05-25,0.9962016023638162,1.0,1.0,1.0
2005-05-26,1.0015411192603763,1.0,1.0,1.0
2005-05-27,1.0032093327574303,1.0,1.0,1.0
2005-05-31,0.9967858369186978,1.0,1.0,1.0
2005-06-01,1.0052953239637021,1.0,1.0,1.0
2005-06-02,1.0074643099363692,1.0,1.0,1.0
2005-06-03,1.0023750858150409,1.0,1.0,1.0
2005-06-06,1.0014579375688315,1.0,1.0,1.0
2005-06-07,1.002207881268779,1.0,1.0,1.0
2005-06-08,1.0003733978512106,1.0,1.0,1.0
2005-06-09,1.0051281194174402,1.0,1.0,1.0
2005-06-10,1.002792863524259,1.0,1.0,1.0
2005-06-13,1.0059623663598294,1.0,1.0,1.0
2005-06-14,1.0082986503413334,1.0,1.0,1.0
2005-06-15,1.0102175304639183,1.0,1.0,1.0
2005-06-16,1.0128037333703548,1.0,1.0,1.0
2005-06-17,1.01655634920991,1.0,1.0,1.0
2005-06-20,1.0168917863907563,1.0,1.0,1.0
2005-06-21,1.0174770490339604,1.0,1.0,1.0
2005-06-22,1.0183158756425132,1.0,1.0,1.0
2005-06-23,1.0039916145082475,1.0,1.0,1.0
2005-06-24,0.9966208754742301,1.0,1.0,1.0
2005-06-27,0.9980444039505385,1.0,1.0,1.0
2005-06-28,1.006420800289072,1.0,1.0,1.0
2005-06-29,1.003740574032418,1.0,1.0,1.0
